state,densityMi
MA,913.63782
MI,90.01936
CT,746.03759
WV,74.1268
MN,72.67645
VT,70.14701
MT,7.57964
MD,644.68507
AZ,64.29387
MS,63.08367
OK,58.32718
AR,58.24245
IA,57.63236
CO,57.14496
DE,517.36788
WY,5.96845
OR,44.98992
ME,44.39124
NY,432.15802
FL,411.85199
UT,41.05102
KS,36.14076
PA,291.95101
OH,290.05741
NV,29.01619
CA,256.74242
NE,25.88431
IL,230.71172
HI,229.52904
VA,221.76417
ID,22.91071
NC,218.44107
IN,191.08675
GA,189.81378
MI,178.92197
SC,173.54835
TN,170.33559
NM,17.55338
NH,155.22629
NJ,1276.64047
WA,118.89715
KY,114.95543
TX,114.63179
SD,11.887
ND,11.59974
WI,109.58795
LA,108.38425
RI,1069.96228
AL,100.17153
AK,1.29332
